"Year","Conference ID","Conference Name","Conference URL"
"2018","-1","ALL TEAMS","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=-1&schedule_date="
"2018","823","AAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=823&schedule_date="
"2018","821","ACC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=821&schedule_date="
"2018","920","ASUN","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=920&schedule_date="
"2018","845","America East","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=845&schedule_date="
"2018","820","Atlantic 10","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=820&schedule_date="
"2018","25354","Big 12","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=25354&schedule_date="
"2018","30184","Big East","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=30184&schedule_date="
"2018","826","Big South","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=826&schedule_date="
"2018","827","Big Ten","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=827&schedule_date="
"2018","904","Big West","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=904&schedule_date="
"2018","24312","C-USA","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=24312&schedule_date="
"2018","837","CAA","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=837&schedule_date="
"2018","881","Horizon","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=881&schedule_date="
"2018","865","Ivy League","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=865&schedule_date="
"2018","871","MAAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=871&schedule_date="
"2018","875","MAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=875&schedule_date="
"2018","876","MEAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=876&schedule_date="
"2018","884","MVC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=884&schedule_date="
"2018","5486","MWC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=5486&schedule_date="
"2018","846","NEC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=846&schedule_date="
"2018","902","OVC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=902&schedule_date="
"2018","905","Pac-12","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=905&schedule_date="
"2018","838","Patriot","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=838&schedule_date="
"2018","911","SEC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=911&schedule_date="
"2018","916","SWAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=916&schedule_date="
"2018","912","SoCon","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=912&schedule_date="
"2018","914","Southland","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=914&schedule_date="
"2018","819","Summit League","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=819&schedule_date="
"2018","818","Sun Belt","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=818&schedule_date="
"2018","923","WAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=923&schedule_date="
"2018","922","WCC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2018&division=1&conf_id=922&schedule_date="
